"Ministry Of Railways
Na
Office Of The Principal Chief Material Manager,north Eastern Railway, Gorakhpur N/a",Power Cable For Direct Burial Xlpe Ugac Cable,8610,07-12-2018 04:44:pm,17-12-2018 07:00:pm,Financial Evaluation,GEM/2018/B/132017,https://bidplus.gem.gov.in/showbidDocument/952284,952284
"Ministry Of Railways
Na
North Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1300,06-12-2018 04:18:pm,17-12-2018 07:00:pm,Technical Evaluation,GEM/2018/B/132310,https://bidplus.gem.gov.in/showbidDocument/954486,954486
"Ministry Of Defence
Department Of Defence
22 Engineer Regiment N/a",Power Cable For Direct Burial Xlpe Ugac Cable,25782,07-12-2018 01:45:pm,17-12-2018 04:00:pm,Not Evaluated,GEM/2018/B/132954,https://bidplus.gem.gov.in/showbidDocument/959323,959323
"Ministry Of Defence
Department Of Defence
22 Engineer Regiment N/a",Power Cable For Direct Burial Xlpe Ugac Cable,25782,07-12-2018 12:27:pm,17-12-2018 03:00:pm,Not Evaluated,GEM/2018/B/132854,https://bidplus.gem.gov.in/showbidDocument/958574,958574
"Ministry Of Commerce And Industry
Department Of Commerce
Patna Footwear Design And Development Institute (fddi)","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable",600,06-12-2018 02:39:pm,17-12-2018 02:00:pm,Technical Evaluation,GEM/2018/B/132141,https://bidplus.gem.gov.in/showbidDocument/953219,953219
"Ministry Of Railways
Na
Kapurthala Rail Coach Factory Kapurthala",Power Cable For Direct Burial Xlpe Ugac Cable,1660,05-12-2018 10:45:am,17-12-2018 01:00:pm,Technical Evaluation,GEM/2018/B/131288,https://bidplus.gem.gov.in/showbidDocument/946618,946618
"Ministry Of Steel
Na
Hyderabad N/a","Pvc Aluminium Cable,power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlp",9000,22-11-2018 05:38:pm,14-12-2018 04:00:pm,Not Evaluated,GEM/2018/B/124410,https://bidplus.gem.gov.in/showbidDocument/894321,894321
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,03-12-2018 06:03:pm,13-12-2018 09:00:pm,Financial Evaluation,GEM/2018/B/130446,https://bidplus.gem.gov.in/showbidDocument/940115,940115
"Ministry Of Home Affairs
Central Armed Police Forces
Ftr Hq Bsf South Bengal Border Security Force (bsf)",Power Cable For Direct Burial Xlpe Ugac Cable,4000,30-11-2018 01:46:pm,13-12-2018 12:00:pm,Technical Evaluation,GEM/2018/B/128545,https://bidplus.gem.gov.in/showbidDocument/925639,925639
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,01-12-2018 12:17:pm,12-12-2018 09:00:am,Bid Award,GEM/2018/B/129401,https://bidplus.gem.gov.in/showbidDocument/932121,932121
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,01-12-2018 12:54:pm,12-12-2018 09:00:am,Not Evaluated,GEM/2018/B/129423,https://bidplus.gem.gov.in/showbidDocument/932289,932289
"Ministry Of Railways
Northern Railway
Northern Railway Stores",Power Cable For Direct Burial Xlpe Ugac Cable,500,28-11-2018 11:56:am,11-12-2018 02:00:pm,Technical Evaluation,GEM/2018/B/127096,https://bidplus.gem.gov.in/showbidDocument/914740,914740
"Ministry Of Railways
Na
Office Of Principal Chief Materials Manager, South Western Railway, Hubli N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2400,30-11-2018 12:11:pm,11-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/128585,https://bidplus.gem.gov.in/showbidDocument/925933,925933
"Ministry Of Railways
Na
Kapurthala Rail Coach Factory Kapurthala",Power Cable For Direct Burial Xlpe Ugac Cable,1000,30-11-2018 03:02:pm,11-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/128937,https://bidplus.gem.gov.in/showbidDocument/928544,928544
"Ministry Of Home Affairs
Central Armed Police Forces
Ftr Hq Bsf Jodhpur Border Security Force (bsf)",Power Cable For Direct Burial Xlpe Ugac Cable,500,30-11-2018 04:57:pm,11-12-2018 10:00:am,Financial Evaluation,GEM/2018/B/129116,https://bidplus.gem.gov.in/showbidDocument/929902,929902
"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Central Institute Of Agricultural Engineering Bhopal Indian Council Of Agricultural Research (icar)","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable,power Ca",300,20-11-2018 10:31:am,10-12-2018 05:00:pm,Not Evaluated,GEM/2018/B/122153,https://bidplus.gem.gov.in/showbidDocument/876940,876940
"Ministry Of Home Affairs
Central Armed Police Forces
Dte. Genl. Central Reserve Police Force (crpf)",Power Cable For Direct Burial Xlpe Ugac Cable,1500,29-11-2018 06:38:pm,10-12-2018 05:00:pm,Technical Evaluation,GEM/2018/B/128337,https://bidplus.gem.gov.in/showbidDocument/924015,924015
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,500,29-11-2018 06:55:pm,10-12-2018 03:00:pm,Bid Award,GEM/2018/B/128433,https://bidplus.gem.gov.in/showbidDocument/924736,924736
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,7210,30-11-2018 11:22:am,10-12-2018 02:00:pm,Technical Evaluation,GEM/2018/B/128636,https://bidplus.gem.gov.in/showbidDocument/926318,926318
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2650,30-11-2018 10:37:am,10-12-2018 01:00:pm,Technical Evaluation,GEM/2018/B/128526,https://bidplus.gem.gov.in/showbidDocument/925506,925506
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2800,30-11-2018 10:56:am,10-12-2018 01:00:pm,Technical Evaluation,GEM/2018/B/128592,https://bidplus.gem.gov.in/showbidDocument/925982,925982
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,3500,28-11-2018 12:56:pm,10-12-2018 11:00:am,Bid Award,GEM/2018/B/127115,https://bidplus.gem.gov.in/showbidDocument/914887,914887
"Ministry Of Railways
Na
Head Quarters Central Organisation For Railway Electrification (core)",Power Cable For Direct Burial Xlpe Ugac Cable,136900,29-11-2018 05:14:pm,10-12-2018 11:00:am,Financial Evaluation,GEM/2018/B/128321,https://bidplus.gem.gov.in/showbidDocument/923896,923896
"Ministry Of Railways
Na
Office Of The Principal Chief Materials Manager, East Coast Railway, North Block, 2nd Floor, Chandrasekharpur, Bhubaneswar-751017. N/a",Power Cable For Direct Burial Xlpe Ugac Cable,14000,29-11-2018 08:52:pm,10-12-2018 09:00:am,Technical Evaluation,GEM/2018/B/128476,https://bidplus.gem.gov.in/showbidDocument/925065,925065
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1500,28-11-2018 06:47:pm,08-12-2018 09:00:pm,Technical Evaluation,GEM/2018/B/127754,https://bidplus.gem.gov.in/showbidDocument/919598,919598
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,28-11-2018 04:17:pm,08-12-2018 06:00:pm,Bid Award,GEM/2018/B/127416,https://bidplus.gem.gov.in/showbidDocument/917106,917106
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,28-11-2018 04:16:pm,08-12-2018 06:00:pm,Bid Award,GEM/2018/B/127438,https://bidplus.gem.gov.in/showbidDocument/917274,917274
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,28-11-2018 04:05:pm,08-12-2018 06:00:pm,Bid Award,GEM/2018/B/127453,https://bidplus.gem.gov.in/showbidDocument/917386,917386
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2500,28-11-2018 03:52:pm,08-12-2018 06:00:pm,Bid Award,GEM/2018/B/127462,https://bidplus.gem.gov.in/showbidDocument/917449,917449
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2500,28-11-2018 03:10:pm,08-12-2018 05:00:pm,Bid Award,GEM/2018/B/127335,https://bidplus.gem.gov.in/showbidDocument/916532,916532
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,28-11-2018 03:09:pm,08-12-2018 05:00:pm,Bid Award,GEM/2018/B/127342,https://bidplus.gem.gov.in/showbidDocument/916581,916581
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1500,28-11-2018 03:08:pm,08-12-2018 05:00:pm,Bid Award,GEM/2018/B/127350,https://bidplus.gem.gov.in/showbidDocument/916637,916637
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1500,28-11-2018 03:01:pm,08-12-2018 05:00:pm,Bid Award,GEM/2018/B/127360,https://bidplus.gem.gov.in/showbidDocument/916707,916707
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,28-11-2018 03:00:pm,08-12-2018 05:00:pm,Bid Award,GEM/2018/B/127365,https://bidplus.gem.gov.in/showbidDocument/916742,916742
"Ministry Of Defence
Department Of Defence
Chief Engineer Delhi Zone Delhi Cantt N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2000,28-11-2018 02:44:pm,08-12-2018 05:00:pm,Bid Award,GEM/2018/B/127371,https://bidplus.gem.gov.in/showbidDocument/916791,916791
"Ministry Of Defence
Department Of Defence Research & Development
Chief Construction Engineer (r&d) North, Drdo, Delhi Cantt Defence Research And Development Organisation (drdo)",Power Cable For Direct Burial Xlpe Ugac Cable,250,12-12-2018 06:11:am,14-12-2018 06:00:pm,Bid Award,GEM/2018/RA/1807,https://bidplus.gem.gov.in/showdirectradocumentPdf/882869,
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,4400,27-11-2018 06:00:pm,08-12-2018 11:00:am,Bid Award,GEM/2018/B/126395,https://bidplus.gem.gov.in/showbidDocument/909483,909483
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,400,27-11-2018 06:03:pm,08-12-2018 11:00:am,Bid Award,GEM/2018/B/126454,https://bidplus.gem.gov.in/showbidDocument/909917,909917
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,400,27-11-2018 06:02:pm,08-12-2018 11:00:am,Bid Award,GEM/2018/B/126479,https://bidplus.gem.gov.in/showbidDocument/910106,910106
"Ministry Of Railways
Na
Dlw Varanasi Diesel Locomotive Works Varanasi",Power Cable For Direct Burial Xlpe Ugac Cable,680,27-11-2018 01:08:pm,07-12-2018 04:00:pm,Financial Evaluation,GEM/2018/B/126250,https://bidplus.gem.gov.in/showbidDocument/908384,908384
"Ministry Of Defence
Department Of Defence
Commander Works Engineer, Bathinda N/a","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable",957,27-11-2018 12:45:pm,07-12-2018 03:00:pm,Bid Award,GEM/2018/B/126155,https://bidplus.gem.gov.in/showbidDocument/907691,907691
"Ministry Of Railways
Northern Railway
Northern Railway Stores",Power Cable For Direct Burial Xlpe Ugac Cable,8000,27-11-2018 12:59:pm,07-12-2018 03:00:pm,Bid Award,GEM/2018/B/126210,https://bidplus.gem.gov.in/showbidDocument/908083,908083
"Ministry Of Railways
Na
North Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,4000,26-11-2018 11:31:am,06-12-2018 02:00:pm,Financial Evaluation,GEM/2018/B/125355,https://bidplus.gem.gov.in/showbidDocument/901454,901454
"Ministry Of Petroleum And Natural Gas
Indian Oil Corporation Limited
Iocl Marketing Sro Sankari Terminal Marketing Division","Power Cable For Direct Burial Xlpe Ugac Cable,power Cable For Direct Burial Xlpe Ugac Cable,power Ca",3600,26-11-2018 10:58:am,06-12-2018 01:00:pm,Not Evaluated,GEM/2018/B/119691,https://bidplus.gem.gov.in/showbidDocument/858117,858117
